path,action,moved_to
data\chessred2k_rect_pov\real_ok\g91_m0066_img0009953_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0069_img0009956_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0070_img0009957_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0072_img0009959_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0074_img0009961_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0078_img0009965_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0081_img0009968_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0083_img0009970_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0085_img0009972_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0087_img0009974_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0089_img0009976_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0090_img0009977_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0091_img0009978_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0092_img0009979_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g91_m0092_img0009979_bpov.png
data\chessred2k_rect_pov\real_ok\g91_m0094_img0009981_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0095_img0009982_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0096_img0009983_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0097_img0009984_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0098_img0009985_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0100_img0009987_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0101_img0009988_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0102_img0009989_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g91_m0102_img0009989_bpov.png
data\chessred2k_rect_pov\real_ok\g99_m0000_img0010700_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0002_img0010702_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0006_img0010706_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0007_img0010707_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0009_img0010709_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0010_img0010710_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0012_img0010712_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0013_img0010713_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0014_img0010714_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0015_img0010715_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0016_img0010716_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0019_img0010719_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0020_img0010720_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g99_m0020_img0010720_bpov.png
data\chessred2k_rect_pov\real_ok\g99_m0021_img0010721_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0022_img0010722_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0024_img0010724_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0025_img0010725_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0026_img0010726_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0028_img0010728_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g99_m0028_img0010728_bpov.png
data\chessred2k_rect_pov\real_ok\g99_m0029_img0010729_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0030_img0010730_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0031_img0010731_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g99_m0031_img0010731_bpov.png
data\chessred2k_rect_pov\real_ok\g99_m0032_img0010732_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g99_m0032_img0010732_bpov.png
data\chessred2k_rect_pov\real_ok\g99_m0034_img0010734_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g99_m0034_img0010734_bpov.png
data\chessred2k_rect_pov\real_ok\g99_m0036_img0010736_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g99_m0036_img0010736_bpov.png
data\chessred2k_rect_pov\real_ok\g99_m0037_img0010737_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0039_img0010739_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0040_img0010740_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g99_m0040_img0010740_bpov.png
data\chessred2k_rect_pov\real_ok\g99_m0045_img0010745_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0046_img0010746_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0047_img0010747_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g99_m0047_img0010747_bpov.png
data\chessred2k_rect_pov\real_ok\g99_m0049_img0010749_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g99_m0049_img0010749_bpov.png
data\chessred2k_rect_pov\real_ok\g99_m0050_img0010750_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g99_m0050_img0010750_bpov.png
data\chessred2k_rect_pov\real_ok\g99_m0052_img0010752_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0053_img0010753_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0054_img0010754_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0055_img0010755_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0057_img0010757_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0059_img0010759_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0060_img0010760_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0061_img0010761_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0064_img0010764_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0065_img0010765_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0067_img0010767_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0068_img0010768_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0069_img0010769_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0070_img0010770_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0071_img0010771_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0073_img0010773_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0074_img0010774_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0076_img0010776_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0077_img0010777_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g99_m0077_img0010777_bpov.png
data\chessred2k_rect_pov\real_ok\g99_m0078_img0010778_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0079_img0010779_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g99_m0079_img0010779_bpov.png
data\chessred2k_rect_pov\real_ok\g99_m0080_img0010780_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0082_img0010782_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g99_m0082_img0010782_bpov.png
data\chessred2k_rect_pov\real_ok\g99_m0084_img0010784_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0086_img0010786_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0087_img0010787_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0088_img0010788_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0093_img0010793_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g99_m0093_img0010793_bpov.png
data\chessred2k_rect_pov\real_ok\g99_m0094_img0010794_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0096_img0010796_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0098_img0010798_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g99_m0099_img0010799_bpov.png,keep,
